primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,train,34,"('24', '45', '2', '0', '2', '5', 2.5)",22,7,22.495362083241048,23.81159447842794,1.3162323951868906,0.10714285714285714,0.049107142857142856,0.05803571428571428
path_b05,train,35,"('24', '45', '2', '0', '2', '5', 3.0)",7,2,22.329763329780864,23.642284826875848,1.3125214970949841,0.125,0.0390625,0.0859375
path_b05,train,36,"('24', '45', '2', '0', '2', '6', 2.5)",10,3,22.581919785486818,23.60632435366492,1.0244045681781024,0.10416666666666667,0.078125,0.02604166666666667
path_b05,train,37,"('24', '45', '2', '0', '2', '6', 3.0)",28,9,21.19776253223651,23.58067794030455,2.3829154080680404,0.1684027777777778,0.0920138888888889,0.0763888888888889
path_b05,train,38,"('24', '45', '2', '0', '2', '7', 3.0)",6,2,21.780773812773976,22.84501693897163,1.0642431261976526,0.21875,0.0625,0.15625
path_b05,train,41,"('24', '48', '2', '0', '2', '5', 2.5)",16,5,23.12221935778457,24.893248177462365,1.7710288196777952,0.20625,0.10625,0.09999999999999999
path_b05,train,42,"('24', '48', '2', '0', '2', '5', 3.0)",6,2,23.769099440620714,24.789998625714315,1.020899185093601,0.1953125,0.125,0.0703125
path_b05,train,43,"('24', '48', '2', '0', '2', '6', 2.5)",7,2,23.792506868990042,25.007593977314542,1.2150871083245,0.109375,0.1015625,0.0078125
path_b05,train,44,"('24', '48', '2', '0', '2', '6', 3.0)",20,6,23.372437858164297,25.02543814443433,1.6530002862700321,0.18489583333333334,0.08854166666666667,0.09635416666666667
path_b05,train,48,"('24', '48', '3', '0', '3', '5', 2.5)",45,15,24.99717345114516,25.76343986973666,0.7662664185915027,0.036458333333333336,0.03958333333333333,-0.003124999999999996
path_b05,train,49,"('24', '48', '3', '0', '3', '6', 2.5)",6,2,24.85368165924696,25.53973902674031,0.6860573674933512,0.0546875,0.0390625,0.015625
path_b05,train,63,"('24', '64', '2', '0', '2', '5', 2.5)",30,10,31.213389783804427,32.20779080431886,0.9944010205144345,0.0625,0.034375,0.028124999999999997
