row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_039_q02,code_n24_k12_cw3_039,q02,validation,0.3,128,46,0.359375,35,0.2734375,1.984375,0.3359375
code_n24_k12_cw3_039_q03,code_n24_k12_cw3_039,q03,validation,0.36,128,80,0.625,49,0.3828125,4.3984375,0.5234375
code_n32_k16_cw3_000_q00,code_n32_k16_cw3_000,q00,train,0.18,128,4,0.03125,1,0.0078125,0.2734375,0.0078125
code_n32_k16_cw3_000_q01,code_n32_k16_cw3_000,q01,train,0.24,128,8,0.0625,2,0.015625,0.421875,0.015625
code_n32_k16_cw3_000_q02,code_n32_k16_cw3_000,q02,train,0.3,128,36,0.28125,10,0.078125,2.1953125,0.125
code_n32_k16_cw3_000_q03,code_n32_k16_cw3_000,q03,train,0.36,128,58,0.453125,21,0.1640625,4.3046875,0.1953125
code_n32_k16_cw3_001_q00,code_n32_k16_cw3_001,q00,validation,0.18,128,8,0.0625,6,0.046875,0.1875,0.046875
code_n32_k16_cw3_001_q01,code_n32_k16_cw3_001,q01,validation,0.24,128,25,0.1953125,14,0.109375,0.9765625,0.109375
code_n32_k16_cw3_001_q02,code_n32_k16_cw3_001,q02,validation,0.3,128,45,0.3515625,26,0.203125,2.2265625,0.2421875
code_n32_k16_cw3_001_q03,code_n32_k16_cw3_001,q03,validation,0.36,128,73,0.5703125,48,0.375,5.0546875,0.59375
code_n32_k16_cw3_002_q00,code_n32_k16_cw3_002,q00,train,0.18,128,1,0.0078125,0,0.0,0.0625,0.0
code_n32_k16_cw3_002_q01,code_n32_k16_cw3_002,q01,train,0.24,128,15,0.1171875,3,0.0234375,0.8359375,0.03125
code_n32_k16_cw3_002_q02,code_n32_k16_cw3_002,q02,train,0.3,128,31,0.2421875,10,0.078125,1.9609375,0.0859375
code_n32_k16_cw3_002_q03,code_n32_k16_cw3_002,q03,train,0.36,128,50,0.390625,20,0.15625,3.6640625,0.21875
code_n32_k16_cw3_003_q00,code_n32_k16_cw3_003,q00,train,0.18,128,9,0.0703125,6,0.046875,0.3515625,0.046875
code_n32_k16_cw3_003_q01,code_n32_k16_cw3_003,q01,train,0.24,128,11,0.0859375,4,0.03125,0.6171875,0.0390625
code_n32_k16_cw3_003_q02,code_n32_k16_cw3_003,q02,train,0.3,128,27,0.2109375,10,0.078125,1.71875,0.09375
code_n32_k16_cw3_003_q03,code_n32_k16_cw3_003,q03,train,0.36,128,63,0.4921875,28,0.21875,4.7265625,0.3125
code_n32_k16_cw3_004_q00,code_n32_k16_cw3_004,q00,train,0.18,128,6,0.046875,2,0.015625,0.2734375,0.015625
code_n32_k16_cw3_004_q01,code_n32_k16_cw3_004,q01,train,0.24,128,16,0.125,7,0.0546875,0.7109375,0.0546875
code_n32_k16_cw3_004_q02,code_n32_k16_cw3_004,q02,train,0.3,128,43,0.3359375,20,0.15625,2.421875,0.1796875
code_n32_k16_cw3_004_q03,code_n32_k16_cw3_004,q03,train,0.36,128,60,0.46875,23,0.1796875,3.96875,0.25
code_n32_k16_cw3_005_q00,code_n32_k16_cw3_005,q00,train,0.18,128,4,0.03125,2,0.015625,0.140625,0.015625
code_n32_k16_cw3_005_q01,code_n32_k16_cw3_005,q01,train,0.24,128,20,0.15625,9,0.0703125,0.8671875,0.0703125
code_n32_k16_cw3_005_q02,code_n32_k16_cw3_005,q02,train,0.3,128,48,0.375,29,0.2265625,2.6484375,0.265625
code_n32_k16_cw3_005_q03,code_n32_k16_cw3_005,q03,train,0.36,128,76,0.59375,50,0.390625,5.046875,0.5625
code_n32_k16_cw3_006_q00,code_n32_k16_cw3_006,q00,test,0.18,128,10,0.078125,4,0.03125,0.328125,0.03125
code_n32_k16_cw3_006_q01,code_n32_k16_cw3_006,q01,test,0.24,128,34,0.265625,17,0.1328125,1.4453125,0.1328125
code_n32_k16_cw3_006_q02,code_n32_k16_cw3_006,q02,test,0.3,128,37,0.2890625,16,0.125,2.1640625,0.15625
code_n32_k16_cw3_006_q03,code_n32_k16_cw3_006,q03,test,0.36,128,90,0.703125,61,0.4765625,5.8984375,0.6171875
code_n32_k16_cw3_007_q00,code_n32_k16_cw3_007,q00,train,0.18,128,12,0.09375,10,0.078125,0.2578125,0.0859375
