row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,23,3619467665,"[0, 13, 14, 15, 16, 17, 21]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,24,3620467668,"[0, 2, 3, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,25,3621467671,"[1, 5, 7, 12, 14, 21, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,26,3622467674,"[0, 5, 9, 15, 16, 18, 19, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,27,3623467677,"[0, 5, 9, 11, 13, 14, 16, 18, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,28,3624467680,"[0, 2, 6, 8, 13, 16]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,29,3625467683,"[6, 7, 8, 12, 13, 14, 17, 18, 19, 20, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,30,3626467686,"[0, 1, 4, 11, 12, 15, 22]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,31,3627467689,"[4, 6, 9, 10, 13, 14, 20, 21]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,0,1328156501,"[8, 9, 11, 13, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,1,1329156504,"[12, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,2,1330156507,"[4, 6]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,3,1331156510,"[10, 13, 16, 19]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,4,1332156513,"[5, 8, 21]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,5,1333156516,"[0, 7, 18]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,6,1334156519,[14],0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,7,1335156522,"[1, 21]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,8,1336156525,"[9, 15, 16]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,9,1337156528,"[0, 1, 11, 12, 17, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,10,1338156531,"[8, 13, 15, 22]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,11,1339156534,"[1, 12]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,12,1340156537,[],0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,13,1341156540,"[1, 22]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,14,1342156543,"[4, 10, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,15,1343156546,[],0
